T_DB (K),P (Pa),x_w (mol/mol),x_w_sat(mol/hmol),x_w_gas (mol/mol),h_gas (J/mol),s_gas (J/mol/K),v_gas (m3/mol),x_w_liq (mol/mol),h_liq (J/mol),s_liq (J/mol/K),v_liq (m3/mol),x_gas (mol/mol),RH,T_WB (K)
303.043259,133405.259,0.08351556,0.031807086,0.031807086,2305.007919,5.813698165,0.01887721,1,2259.215825,7.841028925,1.81E-05,0.946592799,1,303.043259
282.970372,127844.0135,0.04617824,0.009538678,0.009538678,714.0575233,0.707602148,0.018391147,1,745.6732925,2.673689473,1.80E-05,0.963007579,1,282.970372
330.819693,180645.4733,0.0443108,0.099818555,0.0443108,3683.012417,7.735822097,0.015220692,1,4351.851829,14.44530248,1.83E-05,1,0.443913458,317.861742
316.212136,81436.747,0.00166082,0.107036886,0.00166082,1331.394859,6.393538142,0.032278971,1,3249.905421,11.04417023,1.82E-05,1,0.015516333,287.4828899
253.612089,137140.7635,0.10093816,0.000791752,0.000791752,-536.7671325,-4.538154542,0.015356875,1,0,0,0,0.899774238,1,253.612089
340.959208,168233.3433,0.07909619,0.169956871,0.07909619,5557.479579,14.30055737,0.016842898,1,5116.325222,16.72211402,1.84E-05,1,0.465389775,326.7258789
306.835671,179070.4405,0.13269933,0.029413782,0.029413782,2304.979141,3.359020836,0.014237999,1,2545.504147,8.777166679,1.81E-05,0.893584366,1,306.835671
253.521356,130418.2525,0.10710272,0.000825128,0.000825128,-537.295215,-4.122707817,0.016143601,1,0,0,0,0.893634643,1,253.521356
245.119334,170425.6498,0.19074947,0.000275534,0.000275534,-810.8084538,-7.443714962,0.011937151,1,0,0,0,0.809473567,1,245.119334
321.764099,119930.4597,0.08378986,0.096664105,0.08378986,5204.613163,16.07960087,0.022293726,1,3668.627999,12.35466545,1.82E-05,1,0.866814629,319.3024832
364.721158,103607.3171,0.19328166,0.721583904,0.19328166,11450.78872,36.24470335,0.029246304,1,6911.980263,21.81645714,1.87E-05,1,0.267857499,334.9256813
256.462864,87975.7094,0.0219286,0.001612469,0.001612469,-412.33853,-0.361077504,0.024219599,1,0,0,0,0.979651057,1,256.462864
309.748528,161692.9725,0.12798826,0.038248406,0.038248406,2790.446699,5.820464978,0.015918488,1,2764.524183,9.48862381,1.81E-05,0.906691234,1,309.748528
338.074163,66587.4903,0.01600824,0.376481373,0.01600824,2620.749931,12.37180054,0.042210876,1,4897.142181,16.08204122,1.84E-05,1,0.042520669,296.242581
348.376831,132184.3452,0.05488338,0.296925909,0.05488338,4682.527062,13.42875824,0.021909131,1,5675.829083,18.34741463,1.85E-05,1,0.184838636,318.3863777
371.091861,134866.5646,0.1965313,0.701794467,0.1965313,11787.18826,35.00938723,0.022856612,1,7395.581377,23.12936339,1.88E-05,1,0.280041108,341.1484755
267.11971,154218.8468,0.00124875,0.002399623,0.00124875,-123.8327215,-3.923430611,0.014386075,1,0,0,0,1,0.520394227,265.6150642
322.137652,174926.5536,0.03772093,0.06762085,0.03772093,3129.910682,6.237514777,0.015304914,1,3697.621241,12.44160742,1.82E-05,1,0.557829868,313.5119105
359.737693,112389.2764,0.00877359,0.550881236,0.00877359,2924.588294,8.673953829,0.026613903,1,6534.642691,20.77428107,1.86E-05,1,0.015926464,305.5431007
346.056424,113259.6763,0.11532326,0.314055619,0.11532326,7354.1483,23.18420273,0.025391564,1,5500.293398,17.84286859,1.85E-05,1,0.367206486,326.203302
276.157103,66439.7689,0.12115733,0.011448554,0.011448554,606.0864502,5.758742515,0.034544894,1,228.7896146,0.828648112,1.80E-05,0.889020671,1,276.157103
362.58305,170971.5553,0.07416813,0.405183902,0.07416813,5975.427903,15.27871352,0.017629106,1,6750.924118,21.37011244,1.87E-05,1,0.183048067,328.7280631
301.001353,134154.7988,0.01120795,0.028102131,0.01120795,1315.519773,2.37788562,0.018646617,1,2105.465466,7.331912516,1.81E-05,1,0.398829191,292.4413615
301.128944,190543.1481,0.03590549,0.019965108,0.019965108,1710.582601,0.840326083,0.013130966,1,2116.00613,7.363536992,1.81E-05,0.983734883,1,301.128944
348.116722,177266.7361,0.14026081,0.219339079,0.14026081,8537.638182,23.09708573,0.016311314,1,5656.83541,18.29048134,1.85E-05,1,0.639470223,338.7044477
338.220587,89819.0844,0.196749,0.281236591,0.196749,10806.68156,35.62104324,0.03127433,1,4908.534768,16.11447015,1.84E-05,1,0.699585354,330.8910683
338.571794,108445.9353,0.0005856,0.236775559,0.0005856,1933.910868,5.808558049,0.025956321,1,4935.307074,16.19257398,1.84E-05,1,0.002473228,296.9922659
263.630685,92217.3064,0.17507213,0.002952373,0.002952373,-143.6520619,0.28090628,0.023752896,1,0,0,0,0.827370577,1,263.630685
293.117877,125634.2911,0.14244791,0.018673344,0.018673344,1422.486682,3.32663868,0.019387827,1,1511.40487,5.332506691,1.80E-05,0.873870169,1,293.117877
282.285177,190355.769,0.08525943,0.00613011,0.00613011,535.7528748,-3.2422051,0.012317936,1,694.981039,2.49034337,1.80E-05,0.920382617,1,282.285177
306.886589,104833.9248,0.06173153,0.050284368,0.050284368,3253.898269,10.94869616,0.024327845,1,2548.1313,8.790110505,1.81E-05,0.987946748,1,306.886589
308.309626,171819.3314,0.06911839,0.033265283,0.033265283,2522.56048,4.427844629,0.014910438,1,2656.35692,9.138006211,1.81E-05,0.96291319,1,308.309626
272.485515,137188.5092,0.04324762,0.004240319,0.004240319,168.7220433,-1.852046631,0.016500135,1,0,0,0,0.960826592,1,272.485515
286.688032,173383.7307,0.03748242,0.009006037,0.009006037,795.2299977,-1.540574943,0.013736739,1,1027.258995,3.659435732,1.80E-05,0.971264827,1,286.688032
279.478675,185401.2483,0.10902233,0.005196499,0.005196499,412.1033529,-3.468171921,0.012520985,1,482.5983045,1.734525909,1.80E-05,0.895631819,1,279.478675
345.233258,95050.5157,0.19997604,0.361060616,0.19997604,11164.39497,36.20533784,0.030167092,1,5437.867698,17.66323411,1.84E-05,1,0.553857251,332.7418967
254.269131,173602.5587,0.1935307,0.000666951,0.000666951,-526.5480145,-6.456091066,0.012159241,1,0,0,0,0.807007535,1,254.269131
323.203198,185542.0746,0.16826231,0.067247531,0.067247531,4494.347785,10.18966267,0.014473148,1,3778.045766,12.6902546,1.82E-05,0.89170248,1,323.203198
373.183179,126863.1478,0.08620741,0.803020698,0.08620741,6839.890369,20.35580103,0.024454709,1,7554.254916,23.55615253,1.88E-05,1,0.107353908,326.4157
367.662057,150161.0245,0.13788781,0.557204418,0.13788781,9020.541551,25.79406429,0.020346403,1,7135.574013,22.42467473,1.87E-05,1,0.247463598,336.5776944
274.856389,139182.4086,0.08190844,0.004993805,0.004993805,271.653382,-1.593843739,0.016405711,1,131.4115118,0.470439626,1.80E-05,0.92269934,1,274.856389
286.934721,55640.91,0.0648793,0.028412594,0.028412594,1686.162428,10.98705732,0.042863238,1,1043.839249,3.724645523,1.80E-05,0.96246688,1,286.934721
331.301469,55853.6233,0.05735692,0.328967332,0.05735692,4296.115159,19.48552793,0.049310352,1,4386.267992,14.55615913,1.83E-05,1,0.174354455,302.8690542
334.772701,176478.4526,0.02834768,0.122762032,0.02834768,3077.054888,5.875898606,0.01576855,1,4649.795602,15.340816,1.83E-05,1,0.230915696,313.2401776
302.047138,57903.6124,0.12666936,0.069039762,0.069039762,3962.053512,18.1615168,0.043354983,1,2182.962034,7.593502338,1.81E-05,0.938096606,1,302.047138
296.946303,55732.2201,0.17306835,0.053072727,0.053072727,3091.737587,15.65509958,0.04428533,1,1798.723443,6.31065402,1.81E-05,0.873278945,1,296.946303
308.85661,149290.7706,0.05120993,0.039434176,0.039434176,2818.667452,6.579062251,0.017191634,1,2697.173669,9.271601025,1.81E-05,0.987740815,1,308.85661
306.197296,106967.017,0.00172881,0.047418177,0.00172881,1040.803858,3.194992272,0.023793464,1,2496.267796,8.620795457,1.81E-05,1,0.036458804,286.5438036
289.195881,81566.6855,0.17545058,0.022441543,0.022441543,1481.026696,7.117049596,0.029466912,1,1214.914332,4.316902026,1.80E-05,0.843478376,1,289.195881
343.47141,171338.3596,0.12701463,0.186199519,0.12701463,7799.77325,21.13953444,0.016652099,1,5305.973973,17.27612894,1.84E-05,1,0.682142632,335.6853686
360.407869,162566.1084,0.12314705,0.39190735,0.12314705,8133.114893,22.47961564,0.018422662,1,6586.084741,20.91455167,1.86E-05,1,0.314224906,335.5910192
272.683549,51012.1785,0.03644684,0.011555386,0.011555386,510.8702564,7.607351701,0.044429381,1,0,0,0,0.974817553,1,272.683549
268.387863,145721.9921,0.13671562,0.002830207,0.002830207,-14.96937575,-3.036661341,0.015298359,1,0,0,0,0.865734588,1,268.387863
291.848792,194738.5876,0.13476208,0.011154727,0.011154727,1041.382002,-1.643834766,0.012450488,1,1416.912595,5.005173867,1.80E-05,0.874998287,1,291.848792
329.917724,166774.2095,0.08302248,0.10357452,0.08302248,5407.473557,13.95993345,0.016436844,1,4283.65965,14.23965823,1.83E-05,1,0.801572432,325.939045
